table,field,dtype,description,primary,schema_origin,source_url
cpt_jyc_2026_stock_bar1m,date,np.datetime64,日期（Bar 结束时刻）,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,instrument,pd.StringDtype,股票代码,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,instrument_id,np.int16,股票代码 ID,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,adjust_factor,np.float32,复权因子,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,pre_close,np.float32,前收盘价,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,high,np.float32,最高价,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,open,np.float32,开盘价,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,low,np.float32,最低价,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,close,np.float32,收盘价,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,deal_number,np.int32,成交笔数,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,volume,np.int32,成交量,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,amount,np.float32,成交额,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,ask_price1,np.float32,1档委卖价,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,ask_price2,np.float32,2档委卖价,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,ask_price3,np.float32,3档委卖价,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,ask_price4,np.float32,4档委卖价,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,ask_price5,np.float32,5档委卖价,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,bid_price1,np.float32,1档委买价,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,bid_price2,np.float32,2档委买价,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,bid_price3,np.float32,3档委买价,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,bid_price4,np.float32,4档委买价,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,bid_price5,np.float32,5档委买价,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,ask_volume1,np.int32,1档委卖量,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,ask_volume2,np.int32,2档委卖量,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,ask_volume3,np.int32,3档委卖量,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,ask_volume4,np.int32,4档委卖量,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,ask_volume5,np.int32,5档委卖量,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,bid_volume1,np.int32,1档委买量,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,bid_volume2,np.int32,2档委买量,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
